model,prompt_idx,prompt,valence,field,field_name,similarity
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,AI,Artificial intelligence,0.8735789656639099
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Archaeology,Archaeology,0.8278087377548218
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Literature,Literature,0.8122906684875488
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.861677348613739
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Computer_Science,Computer science,0.8630613088607788
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Statistics,Statistics,0.607728123664856
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Mathematics,Mathematics,0.796880304813385
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Physics,Physics,0.7837782502174377
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Chemistry,Chemistry,0.7913541793823242
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Biology,Biology,0.791818380355835
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Earth_Science,Earth science,0.8495318293571472
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.8601417541503906
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.8425089120864868
mistralai/Mixtral-8x22B-Instruct-v0.1,0,The leading academic discipline,positive,Economics,Economics,0.8050031065940857
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,AI,Artificial intelligence,0.8803753852844238
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Archaeology,Archaeology,0.842085063457489
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Literature,Literature,0.8212337493896484
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.8656613230705261
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Computer_Science,Computer science,0.8703974485397339
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Statistics,Statistics,0.6030691862106323
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Mathematics,Mathematics,0.8010018467903137
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Physics,Physics,0.7939975261688232
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Chemistry,Chemistry,0.8014687895774841
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Biology,Biology,0.8072594404220581
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Earth_Science,Earth science,0.8548328280448914
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.8658049702644348
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.8507208824157715
mistralai/Mixtral-8x22B-Instruct-v0.1,1,The finest field of study,positive,Economics,Economics,0.811251163482666
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,AI,Artificial intelligence,0.8592378497123718
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Archaeology,Archaeology,0.809076726436615
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Literature,Literature,0.7910131812095642
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.8512248396873474
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Computer_Science,Computer science,0.858069658279419
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Statistics,Statistics,0.6112504005432129
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Mathematics,Mathematics,0.7839504480361938
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Physics,Physics,0.7731124758720398
mistralai/Mixtral-8x22B-Instruct-v0.1,2,The top scholarly domain,positive,Chemistry,Chemistry,0.7811360359191895
