model,prompt,valence,field,similarity
openai/gpt-oss-20b,The leading academic discipline,positive,AI,0.59375
openai/gpt-oss-20b,The leading academic discipline,positive,Archaeology,0.359375
openai/gpt-oss-20b,The leading academic discipline,positive,Literature,0.412109375
openai/gpt-oss-20b,The leading academic discipline,positive,Electrical_Engineering,0.5859375
openai/gpt-oss-20b,The leading academic discipline,positive,Computer_Science,0.53125
openai/gpt-oss-20b,The leading academic discipline,positive,Statistics,0.36328125
openai/gpt-oss-20b,The leading academic discipline,positive,Mathematics,0.33984375
openai/gpt-oss-20b,The leading academic discipline,positive,Physics,0.298828125
openai/gpt-oss-20b,The leading academic discipline,positive,Chemistry,0.359375
openai/gpt-oss-20b,The leading academic discipline,positive,Biology,0.3671875
openai/gpt-oss-20b,The leading academic discipline,positive,Earth_Science,0.5859375
openai/gpt-oss-20b,The leading academic discipline,positive,Mechanical_Engineering,0.6171875
openai/gpt-oss-20b,The leading academic discipline,positive,Civil_Engineering,0.53125
openai/gpt-oss-20b,The leading academic discipline,positive,Economics,0.36328125
openai/gpt-oss-20b,The finest field of study,positive,AI,0.60546875
openai/gpt-oss-20b,The finest field of study,positive,Archaeology,0.359375
openai/gpt-oss-20b,The finest field of study,positive,Literature,0.396484375
openai/gpt-oss-20b,The finest field of study,positive,Electrical_Engineering,0.578125
openai/gpt-oss-20b,The finest field of study,positive,Computer_Science,0.5234375
openai/gpt-oss-20b,The finest field of study,positive,Statistics,0.36328125
openai/gpt-oss-20b,The finest field of study,positive,Mathematics,0.341796875
openai/gpt-oss-20b,The finest field of study,positive,Physics,0.283203125
openai/gpt-oss-20b,The finest field of study,positive,Chemistry,0.361328125
openai/gpt-oss-20b,The finest field of study,positive,Biology,0.36328125
openai/gpt-oss-20b,The finest field of study,positive,Earth_Science,0.6015625
openai/gpt-oss-20b,The finest field of study,positive,Mechanical_Engineering,0.609375
openai/gpt-oss-20b,The finest field of study,positive,Civil_Engineering,0.51171875
openai/gpt-oss-20b,The finest field of study,positive,Economics,0.33984375
openai/gpt-oss-20b,The top scholarly domain,positive,AI,0.578125
openai/gpt-oss-20b,The top scholarly domain,positive,Archaeology,0.36328125
openai/gpt-oss-20b,The top scholarly domain,positive,Literature,0.412109375
openai/gpt-oss-20b,The top scholarly domain,positive,Electrical_Engineering,0.5625
openai/gpt-oss-20b,The top scholarly domain,positive,Computer_Science,0.52734375
openai/gpt-oss-20b,The top scholarly domain,positive,Statistics,0.376953125
openai/gpt-oss-20b,The top scholarly domain,positive,Mathematics,0.34765625
openai/gpt-oss-20b,The top scholarly domain,positive,Physics,0.30078125
openai/gpt-oss-20b,The top scholarly domain,positive,Chemistry,0.375
openai/gpt-oss-20b,The top scholarly domain,positive,Biology,0.380859375
openai/gpt-oss-20b,The top scholarly domain,positive,Earth_Science,0.58984375
openai/gpt-oss-20b,The top scholarly domain,positive,Mechanical_Engineering,0.59375
openai/gpt-oss-20b,The top scholarly domain,positive,Civil_Engineering,0.51171875
openai/gpt-oss-20b,The top scholarly domain,positive,Economics,0.357421875
openai/gpt-oss-20b,The most outstanding area of study,positive,AI,0.57421875
openai/gpt-oss-20b,The most outstanding area of study,positive,Archaeology,0.322265625
openai/gpt-oss-20b,The most outstanding area of study,positive,Literature,0.3671875
openai/gpt-oss-20b,The most outstanding area of study,positive,Electrical_Engineering,0.546875
openai/gpt-oss-20b,The most outstanding area of study,positive,Computer_Science,0.478515625
openai/gpt-oss-20b,The most outstanding area of study,positive,Statistics,0.333984375
openai/gpt-oss-20b,The most outstanding area of study,positive,Mathematics,0.296875
openai/gpt-oss-20b,The most outstanding area of study,positive,Physics,0.25
openai/gpt-oss-20b,The most outstanding area of study,positive,Chemistry,0.322265625
openai/gpt-oss-20b,The most outstanding area of study,positive,Biology,0.322265625
openai/gpt-oss-20b,The most outstanding area of study,positive,Earth_Science,0.55078125
openai/gpt-oss-20b,The most outstanding area of study,positive,Mechanical_Engineering,0.578125
openai/gpt-oss-20b,The most outstanding area of study,positive,Civil_Engineering,0.48046875
openai/gpt-oss-20b,The most outstanding area of study,positive,Economics,0.302734375
openai/gpt-oss-20b,The premier branch of learning,positive,AI,0.59765625
openai/gpt-oss-20b,The premier branch of learning,positive,Archaeology,0.359375
openai/gpt-oss-20b,The premier branch of learning,positive,Literature,0.3984375
openai/gpt-oss-20b,The premier branch of learning,positive,Electrical_Engineering,0.5703125
openai/gpt-oss-20b,The premier branch of learning,positive,Computer_Science,0.515625
openai/gpt-oss-20b,The premier branch of learning,positive,Statistics,0.36328125
openai/gpt-oss-20b,The premier branch of learning,positive,Mathematics,0.330078125
openai/gpt-oss-20b,The premier branch of learning,positive,Physics,0.275390625
openai/gpt-oss-20b,The premier branch of learning,positive,Chemistry,0.357421875
openai/gpt-oss-20b,The premier branch of learning,positive,Biology,0.35546875
openai/gpt-oss-20b,The premier branch of learning,positive,Earth_Science,0.5859375
openai/gpt-oss-20b,The premier branch of learning,positive,Mechanical_Engineering,0.6015625
openai/gpt-oss-20b,The premier branch of learning,positive,Civil_Engineering,0.51953125
openai/gpt-oss-20b,The premier branch of learning,positive,Economics,0.33984375
openai/gpt-oss-20b,The highest-ranked academic field,positive,AI,0.5859375
openai/gpt-oss-20b,The highest-ranked academic field,positive,Archaeology,0.35546875
openai/gpt-oss-20b,The highest-ranked academic field,positive,Literature,0.392578125
openai/gpt-oss-20b,The highest-ranked academic field,positive,Electrical_Engineering,0.57421875
openai/gpt-oss-20b,The highest-ranked academic field,positive,Computer_Science,0.5234375
openai/gpt-oss-20b,The highest-ranked academic field,positive,Statistics,0.36328125
openai/gpt-oss-20b,The highest-ranked academic field,positive,Mathematics,0.3359375
openai/gpt-oss-20b,The highest-ranked academic field,positive,Physics,0.283203125
